participant,condition,confidence,clarity,cognitive_load,mental_effort,usefulness,engagement
P01,classic,2.75,3.2,3.0,4,3.33,3.67
P02,classic,4.75,4.8,2.0,4,4.33,4.0
P03,multiple,3.75,4.0,2.8,5,4.0,4.0
P04,multiple,4.0,3.8,2.5,3,3.33,3.0
P05,multiple,4.75,4.2,2.2,3,4.33,4.33
P06,multiple,4.0,3.8,4.0,7,3.0,4.33
P07,multiple,3.75,4.0,3.4,8,4.67,3.67
P08,classic,3.25,4.4,2.8,5,3.67,3.0
P09,classic,2.5,3.2,3.8,7,2.67,2.0
P10,classic,4.0,3.6,1.8,3,2.67,2.33
P11,multiple,4.75,4.8,2.0,3,4.67,4.67
P12,classic,4.0,4.0,2.4,5,3.33,3.33
P13,classic,4.0,4.0,2.2,5,4.0,4.0
P14,multiple,5.0,4.8,2.0,6,5.0,5.0
P15,multiple,4.5,4.6,1.8,4,4.33,5.0
